name,category,phone,quartier,landmark,hours,lat,lng,nightopen,notes
Yum Yum Restaurant and Grill,FOOD,,Biyem-Assi,RFMM+453,Open · Closes 10:00 PM,3.845,11.495,,Grill and restaurant; beer and wine list. No phone digitally listed.
ABIDJAN RESTO BIYEM-ASSI,FOOD,+237655590933,Biyem-Assi,RFXM+G55,Open · Closes 9:00 PM,3.8455,11.4952,,"West African / Ivorian; small plates, cocktails, table service."
Level-Up Biyemassi,FOOD,,Biyem-Assi,RFRV+2MW,,3.8448,11.494,,Lounge bar. Hours not listed; no phone digitally listed.
CrunchFood #Mange d'abord,FOOD,+237677544328,Biyem-Assi,"Après Rond-point Express, en face entrée Saint-Étienne",Open · Closes 10:30 PM,3.8431,11.4988,,Fast food; takeout and delivery.
Chicken House,FOOD,+237696444356,Biyem-Assi,"Montée Scalom, RFRQ+74X",,3.8445,11.496,,"Fried chicken, chips, takeaway boxes. Hours not listed."
Pizzeria Glacier Grill Dolcezza,FOOD,+237679105188,Biyem-Assi,"Rond-point Express, vers la Jouvence",Closed · Opens 12:00 PM,3.843,11.4985,,Pizzeria and ice cream; grilled meats.
Roundabout Express,FOOD,+237680484333,Biyem-Assi,Rond-point Express,Open · Closes 12:00 AM,3.8431,11.4988,,"CONFLICT: listing status says closes 12:00 AM, description says open 24 hours. Using the status line; confirm by phone."
American Fusion restaurant,FOOD,,Biyem-Assi,"Roundabout Express, RFMP+W7Q",,3.8435,11.4982,,"Burgers, loaded fries, milkshakes. Hours and phone not listed."
COMPLEXE BM,FOOD,+237675127920,Mendong,"Maeture Mendong, RFM5+JRP",Open · Closes 12:00 AM,3.835,11.48,,"Complex with bar; lunch, dinner, catering."
BON FEELING Restaurant & Lounge,FOOD,+237679792637,Mendong,"Mbadoumou, Mendong Axis",Open · Closes 12:00 AM,3.8375,11.482,,"Eru, Achu, Ndomba in a lounge setting."
Mr Sam Fast-food Mendong,FOOD,+237690650831,Mendong,Bp2000,Open · Closes 9:00 PM,3.836,11.4815,,Student-area fast food; no-contact delivery.
Restaurant 3D,FOOD,+237656600712,Etoug-Ebe,Etoug-Ebe,Closed · Opens 12:00 PM,3.855,11.49,,Afternoon and evening meals.
Chillax LOUNGE VIP,FOOD,+237696907017,Etoug-Ebe,Carrefour Etoug-Ebe,Open 24 hours,3.8565,11.4915,,"VIP lounge; grilled meat platters, finger foods, full bar."
Seven Hills,FOOD,+237654777222,Melen,Carrefour PJ,Closed · Opens 11:00 AM,3.86,11.495,,"Regional meals, burgers, evening cocktails."
MARCO FUFU,FOOD,+237651639262,Etoug-Ebe,"Tam-Tam, Etoug-Ebe / Biyem-Assi intersection",Closed · Opens 12:30 PM,3.854,11.493,,"Fufu and local soups. SECOND PIN in your batch: 3.8415, 11.4930 (Tam-Tam) — confirm which is the shopfront."
Restaurant Gastronomique La Saveur Plus,FOOD,+237675916214,Etoug-Ebe,RFWP+FJH,Open · Closes 12:00 AM,3.85,11.492,,"Local gastronomy, lunch and dinner."
Collin's Center,FOOD,+237687055195,Simbock,Simbock,Open 24 hours,3.8045,11.4725,,"Large local dining, event catering, beverages."
"LE BAB, Bar à Burger",FOOD,+237676194736,,83,Open · Closes 11:00 PM,,,,Gourmet burger bar. NO COORDINATES in your batch — priced by zone until a pin arrives.
MyPopeyes,FOOD,,,,Open · Closes 10:00 PM,,,,"Fried chicken, fries, lunch boxes. NO COORDINATES and no phone listed."
The Munchies,FOOD,+237657972664,Melen,"Montée Pharmacie du Soleil, 14750",Open · Closes 10:00 PM,3.825,11.485,,"Snack and fast food. Listed twice in your batch, once without a pin."
La Maison du Café | Man'Shi House,FOOD,+237697419226,,"Av. de l'Indépendance, VG99+8M4",Open · Closes 10:00 PM,,,,"Artisan café; espresso, pastries, brunch. NO COORDINATES in your batch."
MERAVI coffee & brunch,FOOD,,,BP00,Open · Closes 10:00 PM,,,,"Brunch, coffee, fresh juices. NO COORDINATES and no phone listed."
