name,category,phone,quartier,landmark,hours,lat,lng,nightopen,notes
Pharmacie du 20 Mai,PHARMACY,+237222239288,Centre-Ville,Boulevard du 20 Mai,,3.8626,11.5196,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie Bastos / Allience,PHARMACY,+237222218854,Bastos,Rond-point Bastos / Rue 1.772,,3.8926,11.5114,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie Notre Dame de Tsinga,PHARMACY,+237242083752,Tsinga,Face Sous-Préfecture Yaoundé 2,,3.8819,11.5028,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie Saint Victor,PHARMACY,+237672878733,Essomba,Face Grande Mosquée d'Essomba,,3.8625,11.5389,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie La Rosée,PHARMACY,+237242156016,Éleveurs,Carrefour Tradex Éleveurs,,3.8928,11.5392,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie La Persévérance,PHARMACY,+237243844135,Awae,Carrefour Awae Escalier,,3.8448,11.5585,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie Obili Chapelle,PHARMACY,+237222314122,Obili,Carrefour Cradat / Chapelle Obili,,3.8535,11.4928,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie Ketchy,PHARMACY,+237222220060,Madagascar,Face Marché Madagascar,,3.8768,11.4888,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie de Cana,PHARMACY,+237222209751,Elig-Essono,Carrefour Jamot / Hôpital Jamot,,3.8748,11.5248,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie Populaire,PHARMACY,+237222232341,Essos,Carrefour Essos,,3.8718,11.5435,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie La Référence,PHARMACY,+237242042596,Ngousso,Face Hôpital Général de Yaoundé,,3.8962,11.5501,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie d'Efoulan,PHARMACY,+237242067426,Efoulan,Carrefour Palais Charles Atangana,,3.8382,11.5038,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie du Lac Municipal,PHARMACY,+237222222080,Warda,Face Lac Municipal,,3.8682,11.5145,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie Nobel Etoudi,PHARMACY,+237690301818,Etoudi,Carrefour Ancien 6e,,3.9092,11.5295,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie Messamendongo,PHARMACY,+237693055375,Odza,Carrefour Messamendongo,,3.8055,11.5385,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie Get Better,PHARMACY,+237655331636,Etoug-Ebe,Carrefour Centre des Handicapés,,3.8441,11.4842,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie d'Emana,PHARMACY,+237222214294,Emana,Carrefour Socropole,,3.9192,11.5318,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Pharmacie des Acacias,PHARMACY,+237222311245,Biyem-Assi,Carrefour Acacias,,3.8345,11.4889,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
Grande Pharmacie de Mendong,PHARMACY,+237222317890,Mendong,Face École Publique,,3.8234,11.4802,yes,Verified from Google Maps by the owner. Night service asserted by the owner; confirm on the phone before dispatch.
